DATE,WLEMUINDXD
2009-08-02,73.7
2009-08-03,10.59
2009-08-04,24.51
2009-08-05,6.46
2009-08-06,11.95
2009-08-07,14.87
2009-08-08,33.16
2009-08-09,27.74
2009-08-10,31.75
2009-08-11,33.43
2009-08-12,19.84
2009-08-13,5.98
2009-08-14,22.32
2009-08-15,124.62
2009-08-16,18.86
2009-08-17,10.9
2009-08-18,71.52
2009-08-19,20.36
2009-08-20,34.28
2009-08-21,14.52
2009-08-22,44.33
2009-08-23,36.51
2009-08-24,44.45
2009-08-25,42.39
2009-08-26,6.36
2009-08-27,5.81
2009-08-28,7.28
2009-08-29,104.54
2009-08-30,98.94
2009-08-31,117.95
2009-09-01,39.94
2009-09-02,38.69
2009-09-03,33.92
2009-09-04,48.02
2009-09-05,71.35
2009-09-06,79.37
2009-09-07,49.0
2009-09-08,37.66
2009-09-09,36.59
2009-09-10,10.98
2009-09-11,46.66
2009-09-12,97.6
2009-09-13,8.35
2009-09-14,30.66
2009-09-15,7.68
2009-09-16,6.12
2009-09-17,5.4
2009-09-18,20.14
2009-09-19,29.37
2009-09-20,33.8
2009-09-21,130.08
2009-09-22,24.55
2009-09-23,6.07
2009-09-24,10.77
2009-09-25,13.55
2009-09-26,58.97
2009-09-27,93.11
2009-09-28,41.08
2009-09-29,16.39
2009-09-30,24.19
2009-10-01,21.82
2009-10-02,87.07
2009-10-03,19.64
2009-10-04,17.0
2009-10-05,20.05
2009-10-06,22.99
2009-10-07,6.88
2009-10-08,21.33
2009-10-09,13.38
2009-10-10,19.27
2009-10-11,8.52
2009-10-12,30.57
2009-10-13,16.25
2009-10-14,36.94
2009-10-15,5.53
2009-10-16,6.53
2009-10-17,57.24
2009-10-18,16.92
2009-10-19,29.68
2009-10-20,62.4
2009-10-21,17.66
2009-10-22,16.02
2009-10-23,33.04
2009-10-24,88.91
2009-10-25,17.0
2009-10-26,9.85
2009-10-27,30.77
2009-10-28,23.77
2009-10-29,21.19
2009-10-30,12.96
2009-10-31,86.01
2009-11-01,32.39
2009-11-02,19.69
2009-11-03,865.31
2009-11-04,23.6
2009-11-05,32.89
2009-11-06,39.47
2009-11-07,57.94
2009-11-08,66.87
2009-11-09,19.39
2009-11-10,31.51
2009-11-11,24.65
2009-11-12,10.31
2009-11-13,12.68
2009-11-14,9.81
2009-11-15,8.5
2009-11-16,9.79
2009-11-17,7.99
2009-11-18,42.62
2009-11-19,19.94
2009-11-20,19.07
2009-11-21,30.25
2009-11-22,17.43
2009-11-23,37.85
2009-11-24,22.93
2009-11-25,40.93
2009-11-26,23.78
2009-11-27,24.75
2009-11-28,35.65
2009-11-29,45.49
2009-11-30,376.29
2009-12-01,306.01
2009-12-02,232.89
2009-12-03,5.4
2009-12-04,6.73
2009-12-05,52.67
2009-12-06,8.62
2009-12-07,31.43
2009-12-08,105.54
2009-12-09,62.3
2009-12-10,16.01
2009-12-11,6.66
2009-12-12,53.03
2009-12-13,25.96
2009-12-14,83.98
2009-12-15,16.46
2009-12-16,18.26
2009-12-17,15.83
2009-12-18,6.84
2009-12-19,43.41
2009-12-20,18.09
2009-12-21,10.86
2009-12-22,49.42
2009-12-23,90.91
2009-12-24,6.76
2009-12-25,142.13
2009-12-26,205.68
2009-12-27,110.33
2009-12-28,43.85
2009-12-29,34.24
2009-12-30,27.45
2009-12-31,53.59
2010-01-01,57.28
2010-01-02,122.78
2010-01-03,78.56
2010-01-04,114.26
2010-01-05,16.2
2010-01-06,6.0
2010-01-07,30.9
2010-01-08,19.61
2010-01-09,113.65
2010-01-10,51.36
2010-01-11,48.54
2010-01-12,15.31
2010-01-13,11.8
2010-01-14,46.95
2010-01-15,43.36
2010-01-16,59.51
2010-01-17,8.44
2010-01-18,10.05
2010-01-19,16.18
2010-01-20,119.63
2010-01-21,103.9
2010-01-22,87.24
2010-01-23,105.71
2010-01-24,64.91
2010-01-25,264.44
2010-01-26,39.15
2010-01-27,30.14
2010-01-28,71.38
2010-01-29,32.57
2010-01-30,62.16
2010-01-31,16.92
2010-02-01,29.04
2010-02-02,46.36
2010-02-03,68.29
2010-02-04,10.09
2010-02-05,37.8
2010-02-06,9.91
2010-02-07,8.31
2010-02-08,58.74
2010-02-09,45.14
2010-02-10,24.07
2010-02-11,41.87
2010-02-12,25.16
2010-02-13,19.85
2010-02-14,47.17
2010-02-15,60.68
2010-02-16,15.89
2010-02-17,11.96
2010-02-18,30.14
2010-02-19,31.42
2010-02-20,50.62
2010-02-21,8.06
2010-02-22,39.31
2010-02-23,37.07
