Date,Close,High,Low,Open,Volume,Yield_10Y,EMUI,BCI,CEI,EPUI,PMI,Sentiment_Score,Adj_Close,EMA,MACD_Line,MACD_Signal,MACD_Diff,RSI,Stoch_K,Stoch_D,Williams_R,Adj_Close_lag1,EMA_lag1,MACD_Line_lag1,MACD_Signal_lag1,MACD_Diff_lag1,RSI_lag1,Stoch_K_lag1,Stoch_D_lag1,Williams_R_lag1,Yield_10Y_lag1,EMUI_lag1,BCI_lag1,CEI_lag1,EPUI_lag1,PMI_lag1,Sentiment_Score_lag1,Target_Price
2009-07-22,954.070007,959.830017,947.75,953.400024,4634100000,3.58,6.65,99.07358,66.0,126.28215,85.7027,-0.99793,954.070007,922.91562,9.759795,3.173233,6.586562,65.208939,93.636052,96.934895,-6.363948,954.580017,919.636211,8.068236,1.526593,6.541643,65.482504,97.764004,97.457419,-2.235996,3.5,54.65,99.07358,66.0,126.28215,85.7027,0.983682,954.070007
2009-07-23,976.289978,979.419983,953.27002,954.070007,5761650000,3.72,11.86,99.07358,66.0,126.28215,85.7027,-0.999229,976.289978,927.998892,12.746401,5.087867,7.658534,70.910806,97.157125,96.185727,-2.842875,954.070007,922.91562,9.759795,3.173233,6.586562,65.208939,93.636052,96.934895,-6.363948,3.58,6.65,99.07358,66.0,126.28215,85.7027,-0.99793,976.289978
2009-07-24,979.26001,979.789978,965.950012,972.159973,4458300000,3.7,7.41,99.07358,66.0,126.28215,85.7027,-0.885356,979.26001,932.880903,15.178002,7.105894,8.072108,71.581241,99.52026,96.771146,-0.47974,976.289978,927.998892,12.746401,5.087867,7.658534,70.910806,97.157125,96.185727,-2.842875,3.72,11.86,99.07358,66.0,126.28215,85.7027,-0.999229,979.26001
2009-07-27,982.179993,982.48999,972.289978,978.630005,4631290000,3.75,21.21,99.07358,66.0,126.28215,85.7027,-0.979362,982.179993,937.576055,17.143067,9.113329,8.029739,72.258202,99.726078,98.801154,-0.273922,979.26001,932.880903,15.178002,7.105894,8.072108,71.581241,99.52026,96.771146,-0.47974,3.7,7.41,99.07358,66.0,126.28215,85.7027,-0.885356,982.179993
2009-07-28,979.619995,982.349976,969.349976,981.47998,5490350000,3.72,71.05,99.07358,66.0,126.28215,85.7027,-0.997944,979.619995,941.580239,18.283069,10.947277,7.335793,70.668813,97.383301,98.876546,-2.616699,982.179993,937.576055,17.143067,9.113329,8.029739,72.258202,99.726078,98.801154,-0.273922,3.75,21.21,99.07358,66.0,126.28215,85.7027,-0.979362,979.619995
2009-07-29,975.150024,977.76001,968.650024,977.659973,5178770000,3.69,119.69,99.07358,66.0,126.28215,85.7027,-0.995254,975.150024,944.777362,18.6113,12.480081,6.131219,67.861962,93.307835,96.805738,-6.692165,979.619995,941.580239,18.283069,10.947277,7.335793,70.668813,97.383301,98.876546,-2.616699,3.72,71.05,99.07358,66.0,126.28215,85.7027,-0.997944,975.150024
2009-07-30,986.75,996.679993,976.01001,976.01001,6035180000,3.67,29.21,99.07358,66.0,126.28215,85.7027,-0.856511,986.75,948.774756,19.581721,13.900409,5.681312,71.072911,91.817737,94.169625,-8.182263,975.150024,944.777362,18.6113,12.480081,6.131219,67.861962,93.307835,96.805738,-6.692165,3.69,119.69,99.07358,66.0,126.28215,85.7027,-0.995254,986.75
2009-07-31,987.47998,993.179993,982.849976,986.799988,5139070000,3.52,29.94,99.07358,66.0,126.28215,85.7027,-0.998037,987.47998,952.460968,20.1771,15.155748,5.021353,71.267459,90.816517,91.980697,-9.183483,986.75,948.774756,19.581721,13.900409,5.681312,71.072911,91.817737,94.169625,-8.182263,3.67,29.21,99.07358,66.0,126.28215,85.7027,-0.856511,987.47998
2009-08-03,1002.630005,1003.609985,990.219971,990.219971,5603440000,3.66,10.59,99.07358,66.0,126.28215,85.7027,-0.997857,1002.630005,957.238971,21.622176,16.449033,5.173143,75.022073,98.951444,93.861899,-1.048556,987.47998,952.460968,20.1771,15.155748,5.021353,71.267459,90.816517,91.980697,-9.183483,3.52,29.94,99.07358,66.0,126.28215,85.7027,-0.998037,1002.630005
2009-08-04,1005.650024,1007.119995,996.679993,1001.409973,5713700000,3.7,24.51,99.07358,66.0,126.28215,85.7027,-0.992583,1005.650024,961.849548,22.748865,17.709,5.039865,75.703647,98.154925,95.974295,-1.845075,1002.630005,957.238971,21.622176,16.449033,5.173143,75.022073,98.951444,93.861899,-1.048556,3.66,10.59,99.07358,66.0,126.28215,85.7027,-0.997857,1005.650024
2009-08-05,1002.719971,1006.640015,994.309998,1005.409973,7242120000,3.8,6.46,99.07358,66.0,126.28215,85.7027,-0.994234,1002.719971,965.741969,23.138616,18.794923,4.343693,73.605116,93.928486,97.011618,-6.071514,1005.650024,961.849548,22.748865,17.709,5.039865,75.703647,98.154925,95.974295,-1.845075,3.7,24.51,99.07358,66.0,126.28215,85.7027,-0.992583,1002.719971
2009-08-06,997.080017,1008.0,992.48999,1004.059998,6753380000,3.79,11.95,99.07358,66.0,126.28215,85.7027,-0.998557,997.080017,968.726545,22.730377,19.582014,3.148363,69.605424,83.703953,91.929121,-16.296047,1002.719971,965.741969,23.138616,18.794923,4.343693,73.605116,93.928486,97.011618,-6.071514,3.8,6.46,99.07358,66.0,126.28215,85.7027,-0.994234,997.080017
2009-08-07,1010.47998,1018.0,999.830017,999.830017,6827090000,3.89,14.87,99.07358,66.0,126.28215,85.7027,-0.999133,1010.47998,972.703063,23.220439,20.309699,2.91074,73.315556,89.943813,89.192084,-10.056187,997.080017,968.726545,22.730377,19.582014,3.148363,69.605424,83.703953,91.929121,-16.296047,3.79,11.95,99.07358,66.0,126.28215,85.7027,-0.998557,1010.47998
2009-08-10,1007.099976,1010.119995,1000.98999,1008.890015,5406080000,3.8,31.75,99.07358,66.0,126.28215,85.7027,-0.994116,1007.099976,975.978959,23.070141,20.861787,2.208353,70.962562,84.483951,86.043906,-15.516049,1010.47998,972.703063,23.220439,20.309699,2.91074,73.315556,89.943813,89.192084,-10.056187,3.89,14.87,99.07358,66.0,126.28215,85.7027,-0.999133,1007.099976
2009-08-11,994.349976,1005.77002,992.400024,1005.77002,5773160000,3.71,33.43,99.07358,66.0,126.28215,85.7027,-0.993556,994.349976,977.72858,21.672384,21.023907,0.648477,62.777759,63.463569,79.297111,-36.536431,1007.099976,975.978959,23.070141,20.861787,2.208353,70.962562,84.483951,86.043906,-15.516049,3.8,31.75,99.07358,66.0,126.28215,85.7027,-0.994116,994.349976
2009-08-12,1005.809998,1012.780029,993.359985,994.0,5498170000,3.72,19.84,99.07358,66.0,126.28215,85.7027,-0.993025,1005.809998,980.403001,21.244486,21.068022,0.176464,66.516069,76.580201,74.842574,-23.419799,994.349976,977.72858,21.672384,21.023907,0.648477,62.777759,63.463569,79.297111,-36.536431,3.71,33.43,99.07358,66.0,126.28215,85.7027,-0.993556,1005.809998
2009-08-13,1012.72998,1013.140015,1000.820007,1005.859985,5250660000,3.59,5.98,99.07358,66.0,126.28215,85.7027,-0.99836,1012.72998,983.481761,21.219158,21.09825,0.120908,68.568826,89.32113,76.454967,-10.67887,1005.809998,980.403001,21.244486,21.068022,0.176464,66.516069,76.580201,74.842574,-23.419799,3.72,19.84,99.07358,66.0,126.28215,85.7027,-0.993025,1012.72998
